AssetManager,SponsorFirm,,MorningstarStrategyId,MorningstarClass,,,SmaStrategy,SmaProductType,ManagerClass,,TotalAccounts,Smry Trns Typ Txt,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018
,,,,,,,,,Select Separate Account Program Total,,154,Net Cash Flows,-842726,-1879019,-2412460,-3206636,-3662790,-3073542,-2706214,-1234923,-531445
,,,,,,,,,,,,Assets,44925894,42151968,42622041,37450377,37433487,35867221,35694881,36992834,38149246
,,,,,,,,,,,,,,,,,,,,,
,,,F00000Y4DW,US SA Small Blend,,,SMA Small-Cap Core Equity,SMA Single Contract,Premier Portfolio Services,,91,Gross Flows,0,0,0,0,2886451,14321768.01,209088,117000,858391
,,,,,,,,,,,,Redemptions,0,0,0,0,0,-324447,-650791,-1065744.78,-776907
,,,,,,,,,,,,Net Cash Flows,0,0,0,0,2886451,13997321.01,-441703,-948744.78,81484
,,,,,,,,,,,,Assets,,,,,2913243.8,16988286.44,17191893.7,16966753.97,17325145.78
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0W,US SA Small Value,,,SMA Small-Cap Value Equity,SMA Single Contract,Premier Portfolio Services,,52,Gross Flows,573233.89,12373.76,308936,313283.38,559006,255493,100000,465000,541485
,,,,,,,,,,,,Redemptions,-491839,-40373.76,-150000,-1035512,-51500,-400963.33,-661753,-608880,-899145
,,,,,,,,,,,,Net Cash Flows,81394.89,-28000,158936,-722228.62,507506,-145470.33,-561753,-143880,-357660
,,,,,,,,,,,,Assets,8755374.3,9008292.61,9848245.83,10137048.4,10634640.44,10278291.94,10048486.95,10253819.17,9724747.38
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Single Contract,Premier Portfolio Services,,,Gross Flows,3521161.58,6128555.5,6683865.59,3076768.44,3395073.82,2494561.92,3353546.96,4334694.12,2166995
,,,,,,,,,,,,Redemptions,-6381375.82,-3697628.05,-8708023.11,-10216320.8,-7108587.16,-4552113.69,-8118977.97,-11801884.48,-11005091.24
,,,,,,,,,Premier Portfolio Services Total,,714,Net Cash Flows,-2860214.24,2430927.45,-2024157.52,-7139552.36,-3713513.34,-2057551.77,-4765431.01,-7467190.36,-8838096.24
,,,,,,,,,,,,Assets,166704052.9,174203063,171287283.8,153380356.7,156516121,159074677.6,153985036.5,145944579.4,134654761.9
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Model-Only Contract,Select Separate Account Program,,,Gross Flows,1791865,1299972,2501530,889395,1314864,566323,330040,387941,600925
,,,,,,,,,,,,Redemptions,-1427744,-1320104,-3633514,-1235519,-1207070,-978647,-2758575,-2345460,-2653731
,,,,,,,,,Select Separate Account Program Total,,171,Net Cash Flows,364121,-20132,-1131984,-346124,107794,-412324,-2428535,-1957519,-2052806
,,,,,,,,,,,,Assets,31530516,33315592,33100284,31776170,32283915,32457849,30344847,29323921,25776894
,,,,,,,,,,,,,,,,,,,,,
,"Ameriprise Financial Services, Inc Total",,,,,,,,,,,Overall Net Cash Flows,-3257424.35,503776.45,-5409665.52,-11414540.98,-3874552.34,8308432.91,-10903636.01,-11752257.14,-11698523.24
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"AssetMark, Inc (f.k.a Genworth Wealth Management)",,,,,,SMA Edge All-Cap,SMA Model-Only Contract,AssetMark UMA,,,Gross Flows,461291.41,120000,2833438.17,2804038.76,3825167.17,1283877.13,0,0,0
,,,,,,,,,,,,Redemptions,-492790.56,-1448659.25,-608970.06,-2583500.61,-701970.9,-944521.11,-556596.08,-17299639.16,0
,,,,,,,,,AssetMark UMA Total,,-,Net Cash Flows,-31499.15,-1328659.25,2224468.11,220538.15,3123196.27,339356.02,-556596.08,-17299639.16,0
,,,,,,,,,,,,Assets,10402889.25,9390628.8,12113473.04,13683537.56,20188153.78,19338794.86,20375014.98,,
,,,,,,,,,,,,,,,,,,,,,
,"AssetMark, Inc (f.k.a Genworth Wealth Management) Total",,,,,,,,,,,Overall Net Cash Flows,-31499.15,-1328659.25,2224468.11,220538.15,3123196.27,339356.02,-556596.08,-17299639.16,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Bank of America Merrill Lynch,,,,,,SMA CCI Large Cap Growth Equity,SMA Model-Only Contract,Managed Account Advisors (MAA),,,Gross Flows,553.81,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-3496.92,0,0,0,0,0,0,0,0
,,,,,,,,,Managed Account Advisors (MAA) Total,,-,Net Cash Flows,-2943.11,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,514556.01,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Merrill ONE,,,Gross Flows,574605.89,481798.02,677405.47,1721256.49,1126149.92,444571.71,497142.74,207497.91,336827.28
,,,,,,,,,,,,Redemptions,-3159863.03,-3481373.83,-2031532.41,-5500331.26,-4407896.35,-844257.34,-999408.94,-461430.9,-1845222.8
,,,,,,,,,Merrill ONE Total,,69,Net Cash Flows,-2585257.14,-2999575.81,-1354126.94,-3779074.77,-3281746.43,-399685.63,-502266.2,-253932.99,-1508395.52
,,,,,,,,,,,,Assets,31612967.58,28120068.38,29563598.55,24477299.25,23216134.48,23542461.47,24694487.37,26260259.43,25791977.82
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unified Managed Account (UMA),,,Redemptions,0,-1921.28,-632675.4,0,0,0,0,0,0
,,,,,,,,,Unified Managed Account (UMA) Total,,-,Net Cash Flows,0,-1921.28,-632675.4,0,0,0,0,0,0
,,,,,,,,,,,,Assets,591654.36,595298.83,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Dual Contract,Managed Account Services (MAS),,,Gross Flows,0,0,0,0,301833,0,500031,0,500000
,,,,,,,,,,,,Redemptions,-498095,0,0,0,0,-50000,-139854,-1036.33,-1048.34
,,,,,,,,,Managed Account Services (MAS) Total,,4,Net Cash Flows,-498095,0,0,0,301833,-50000,360177,-1036.33,498951.66
,,,,,,,,,,,,Assets,295784.41,313365.34,334633.58,368708.5,678531.03,631566.21,1025936.58,1061032.21,1498307.49
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSQN,US SA High Yield Bond,,,SMA Edge Small MidCap Dividend Income with MLPs,SMA Dual Contract,Managed Account Services (MAS),,,Gross Flows,0,0,0,0,256823,0,0,0,0
,,,,,,,,,Managed Account Services (MAS) Total,,2,Net Cash Flows,0,0,0,0,256823,0,0,0,0
,,,,,,,,,,,,Assets,,,,,255977.85,257932.62,268564.03,276986.2,267055.93
,,,,,,,,,,,,,0,0,0,0,256823,0,0,0,0
,,,F00000WJTR,US SA High Yield Bond,,,SMA High Yield,SMA Dual Contract,Managed Account Services (MAS),,,Gross Flows,0,0,4617574,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,0,-2117.13,-4703063.75,0,0,0,0,0
,,,,,,,,,Managed Account Services (MAS) Total,,-,Net Cash Flows,0,0,4615456.87,-4703063.75,0,0,0,0,0
,,,,,,,,,,,,Assets,,,4553293.57,0,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Model-Only Contract,Managed Account Advisors (MAA),,,Gross Flows,2383,0,0,0,0,0,0,0,849483
,,,,,,,,,,,,Redemptions,-1572724.19,-1434767.61,-1233363.42,-109036.99,0,0,0,0,-7.29
,,,,,,,,,Managed Account Advisors (MAA) Total,,4,Net Cash Flows,-1570341.19,-1434767.61,-1233363.42,-109036.99,0,0,0,0,849475.71
,,,,,,,,,,,,Assets,4428642.85,1253001.66,110315.65,,,,,,851631.33
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Merrill ONE,,,Gross Flows,30560217.04,44038681.47,46477300.56,62255266.89,99711131.62,44343438.78,54379151.42,53771340.99,63114102.74
,,,,,,,,,,,,Redemptions,-20689866.87,-26816437.45,-23817914.12,-39241711.96,-45920191.28,-25127717.62,-32400808.18,-32788574.77,-38421263.32
,,,,,,,,,Merrill ONE Total,,1862,Net Cash Flows,9870350.17,17222244.02,22659386.44,23013554.93,53790940.34,19215721.16,21978343.24,20982766.22,24692839.42
,,,,,,,,,,,,Assets,254808786.6,287092186.2,336426292.8,361778816.5,449679602.4,490969964.9,533459190.7,581089153.4,598699906.3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Selects Portfolio Solutions,,,Gross Flows,6504145.23,20563940.08,1438766.72,4456742.7,19583375.62,7280446.75,7408791.44,8757810.69,13544383.33
,,,,,,,,,,,,Redemptions,-5138773.14,-6572906.89,-399657.86,-1138206.36,-3881667.36,-1382898.14,-2122033.86,-3032461.76,-2897143.8
,,,,,,,,,Selects Portfolio Solutions Total,,283,Net Cash Flows,1365372.09,13991033.19,1039108.86,3318536.34,15701708.26,5897548.61,5286757.58,5725348.93,10647239.53
,,,,,,,,,,,,Assets,51314872.08,66285123.27,70942309.19,75275539.91,97107327.18,109994603.4,122722079.5,137568421.1,149044725.1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unified Managed Account (UMA),,,Gross Flows,0,56026.18,0,6153,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,-8985.58,-118700.89,-3151730.17,0,0,0,0,0
,,,,,,,,,Unified Managed Account (UMA) Total,,-,Net Cash Flows,0,47040.6,-118700.89,-3145577.17,0,0,0,0,0
,,,,,,,,,,,,Assets,5975741.58,2990527.72,3095322.84,0,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0W,US SA Small Value,,,SMA Small-Cap Value Equity,SMA Dual Contract,Managed Account Services (MAS),,,Gross Flows,0,0,179850,0,24304.62,26625.63,0,0,0
,,,,,,,,,Managed Account Services (MAS) Total,,-,Net Cash Flows,0,0,179850,0,24304.62,26625.63,0,0,0
,,,,,,,,,,,,Assets,,,179664.51,200961.03,225648.78,247677.56,256925.55,266717.19,263041.81
,,,,,,,,,,,,,0,0,179850,0,24304.62,26625.63,0,0,0
,,,,US SA Preferred Stock,,,SMA Spectrum Offshore Preferred Securities,SMA Model-Only Contract,Managed Account Advisors (MAA),,,Gross Flows,353823.64,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-674120.77,0,0,0,0,0,0,0,0
,,,,,,,,,Managed Account Advisors (MAA) Total,,-,Net Cash Flows,-320297.13,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Assets,7.45E-09,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Merrill ONE,,,Gross Flows,8377050.87,340419.39,2421164.85,2818394.01,2256623.96,2218483.92,5230458.03,6748474.52,5739946.5
,,,,,,,,,,,,Redemptions,-214152.44,-360092.02,-2915579.93,-3000390.32,-794640.02,-3901692.59,-1048732.61,-4151295.59,-484709.44
,,,,,,,,,Merrill ONE Total,,20,Net Cash Flows,8162898.43,-19672.63,-494415.08,-181996.31,1461983.94,-1683208.67,4181725.42,2597178.93,5255237.06
,,,,,,,,,,,,Assets,8523804.98,9694147.95,10186625.8,9511463.5,11415265.77,10371223.85,14616411.21,17297404.74,22474096.99
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unified Managed Account (UMA),,,Gross Flows,0,1986323.43,2937969.75,745771.38,717122.15,994298.95,489538.34,317540.41,1084765.89
,,,,,,,,,,,,Redemptions,0,-1420196.53,-4813064.09,-3607237.85,-4112563,-1714592.3,-1608251.89,-3494044.5,-1555864.6
,,,,,,,,,Unified Managed Account (UMA) Total,,50,Net Cash Flows,0,566126.9,-1875094.34,-2861466.47,-3395440.85,-720293.35,-1118713.55,-3176504.09,-471098.71
,,,,,,,,,,,,Assets,37536211.46,39183947.42,37090172.94,30280260.55,28337047.61,28382952.93,27458759.53,24207871.59,23576883.26
,,,,,,,,,,,,,,,,,,,,,
,,,F00000WKR5,US SA Preferred Stock,,,SMA Spectrum Preferred Capital Securities,SMA Model-Only Contract,Merrill ONE,,,Gross Flows,43168554.66,48988452.95,64755057.16,49674461.1,53003690.75,46129169.73,26312777.98,33194062.98,38280063.94
,,,,,,,,,,,,Redemptions,-14985464.78,-13413612.31,-18755803.13,-32286721.87,-36610998.15,-32864172.79,-27509662.41,-26570103.38,-26916054.36
,,,,,,,,,Merrill ONE Total,,1023,Net Cash Flows,28183089.88,35574840.64,45999254.03,17387739.23,16392692.6,13264996.94,-1196884.43,6623959.6,11364009.58
,,,,,,,,,,,,Assets,128488283,168830199.9,224270684.8,231968917.6,261838072.3,285946133.3,286386727.1,289868333.4,298215180.2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Selects Portfolio Solutions,,,Gross Flows,9355413.4,21276536.19,9680596.38,3065401.63,1085266.35,1082000,752389.64,9042946.06,1649825.97
,,,,,,,,,,,,Redemptions,-258352.44,-917155.09,-48650.49,-1742816.09,-5352033.46,-245725.22,-283071.38,-1826857.26,-8412390.72
,,,,,,,,,Selects Portfolio Solutions Total,,76,Net Cash Flows,9097060.96,20359381.1,9631945.89,1322585.54,-4266767.11,836274.78,469318.26,7216088.8,-6762564.75
,,,,,,,,,,,,Assets,9183423.95,29970970.12,42622395.34,39979084.19,37294110.58,40527116.1,41245096.68,48276940.4,40172087.86
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Model-Only Contract,Managed Account Advisors (MAA),,,Gross Flows,2233085.89,22956,173576.4,59730,12192,44426,48000,279757.73,0
,,,,,,,,,,,,Redemptions,-13324147.49,-40734.83,-31699.06,-96643.15,-31632.06,-76018.65,-605074.87,-15519.45,-12680.51
,,,,,,,,,Managed Account Advisors (MAA) Total,,4,Net Cash Flows,-11091061.6,-17778.83,141877.34,-36913.15,-19440.06,-31592.65,-557074.87,264238.28,-12680.51
,,,,,,,,,,,,Assets,7279815.12,945045.58,1094994.01,992837.84,1026674.78,1027243.85,473928.58,739445.74,718616.86
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Merrill ONE,,,Gross Flows,53383478.84,96394229.01,80393010.64,51498758.64,88985408.35,51190327.18,49204990.95,88206805.99,55467833.29
,,,,,,,,,,,,Redemptions,-43915796.97,-51746824.59,-57645607,-92286952.36,-100291267.8,-47671887.87,-40641204.08,-50023701.68,-61576227.2
,,,,,,,,,Merrill ONE Total,,2599,Net Cash Flows,9467681.87,44647404.42,22747403.64,-40788193.72,-11305859.45,3518439.31,8563786.87,38183104.31,-6108393.91
,,,,,,,,,,,,Assets,725594647.7,824895598.5,859987770.8,767898879.9,799608102.6,827777981.7,836152699.1,856069855.1,835966295.3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Selects Portfolio Solutions,,,Gross Flows,2825844.31,3427805.9,1085949.65,2095043.39,1947516.82,1924354.93,256112.15,2333815.66,305696.16
,,,,,,,,,,,,Redemptions,-892493.63,-1141477.1,-895217.88,-4365016.75,-2037330.36,-503825.6,-2940383.68,-3674558.05,-8992428.42
,,,,,,,,,Selects Portfolio Solutions Total,,109,Net Cash Flows,1933350.68,2286328.8,190731.77,-2269973.36,-89813.54,1420529.33,-2684271.53,-1340742.39,-8686732.26
,,,,,,,,,,,,Assets,79869204.86,84826881.13,88060664.17,80245872.39,83805840.11,87915633.03,85004943.96,82035029.78,72777337.18
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unified Managed Account (UMA),,,Gross Flows,0,46616.49,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,-357525.13,-196649.58,-313867.91,-216211.75,-147999.69,-795.94,-543.89,-475.71
,,,,,,,,,Unified Managed Account (UMA) Total,,1,Net Cash Flows,0,-310908.64,-196649.58,-313867.91,-216211.75,-147999.69,-795.94,-543.89,-475.71
,,,,,,,,,,,,Assets,27229669.33,1178472.23,989202.78,612653.4,426102.31,289517.87,289702.07,288399.08,283756.96
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Dual Contract,Managed Account Services (MAS) T2,,,Gross Flows,0,0,0,0,12133218.26,0,0,0,0
,,,,,,,,,,,,Redemptions,0,0,0,0,-3459,-21118.09,-22125.07,-22247.57,-21819.23
,,,,,,,,,Managed Account Services (MAS) T2 Total,,1,Net Cash Flows,0,0,0,0,12129759.26,-21118.09,-22125.07,-22247.57,-21819.23
,,,,,,,,,,,,Assets,,,,,12100394.88,12540071.6,12609347.09,12641058.08,12535655.27
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Dual Contract,Managed Account Services (MAS),,,Gross Flows,0,135000,50000,2809594,767277.63,0,0,0,50000
,,,,,,,,,,,,Redemptions,-53862.66,-4015.98,-4247.22,-494194.74,-547940.03,-703965.47,-25000,0,0
,,,,,,,,,Managed Account Services (MAS) Total,,8,Net Cash Flows,-53862.66,130984.02,45752.78,2315399.26,219337.6,-703965.47,-25000,0,50000
,,,,,,,,,,,,Assets,5610364.3,6076832.39,6045748.96,8116856.8,3015231.22,2367671.68,2372605.62,2452541.87,2377766.36
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Strategic Portfolio Advisors (SPA),,,Redemptions,0,0,0,0,-2245004.59,-320315.7,-1853.15,-613873.08,-282881.58
,,,,,,,,,Strategic Portfolio Advisors (SPA) Total,,6,Net Cash Flows,0,0,0,0,-2245004.59,-320315.7,-1853.15,-613873.08,-282881.58
,,,,,,,,,,,,Assets,,,,,3167186.25,2912433.45,2944924.92,2424391.05,2016460.87
,,,,,,,,,,,,,,,,,,,,,
,Bank of America Merrill Lynch Total,,,,,,,,,,,Overall Net Cash Flows,51957946.25,130040758.9,101345742,-10831348.3,75459098.84,40101956.51,34731123.63,76183804.73,29502710.78
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Brinker Capital, Inc.",,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Model-Only Contract,Capital Investment Programs,,,Gross Flows,0,0,0,2075285.08,3486466.03,4172469.96,2045788.02,684031.12,2058330.44
,,,,,,,,,,,,Redemptions,0,0,0,-8064.69,-751486.1,-638829.51,-1395172.07,-517397.26,-890128.65
,,,,,,,,,Capital Investment Programs Total,,83,Net Cash Flows,0,0,0,2067220.39,2734979.93,3533640.45,650615.95,166633.86,1168201.79
,,,,,,,,,,,,Assets,1949411,7770237.23,11233565.08,15082653.41,16706835.87,20331616.67,21790375.94,22665832.2,22922326.18
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Model-Only Contract,Capital Investment Programs,,,Gross Flows,0,0,0,0,586126.91,1111247.66,1103961.99,736933.22,400935.64
,,,,,,,,,,,,Redemptions,0,0,0,0,-4114.14,-131023.97,-468561.52,-554346.45,-227963.37
,,,,,,,,,Capital Investment Programs Total,,47,Net Cash Flows,0,0,0,0,582012.77,980223.69,635400.47,182586.77,172972.27
,,,,,,,,,,,,Assets,,,,,8020582.29,9158439,9907751.48,10416925.58,9657419.79
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Core Asset Manager,,,Gross Flows,303105,140000,1114829,611903.24,302804,0,0,0,0
,,,,,,,,,,,,Redemptions,-25641.38,-101607.11,-141990.02,-1768027.25,-64822.91,0,0,0,0
,,,,,,,,,Core Asset Manager Total,,-,Net Cash Flows,277463.62,38392.89,972838.98,-1156124.01,237981.09,0,0,0,0
,,,,,,,,,,,,Assets,7426639.69,7876208.09,8706376.07,7229135.68,0,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Brinker Capital, Inc. Total",,,,,,,,,,,Overall Net Cash Flows,277463.62,38392.89,972838.98,911096.38,3554973.79,4513864.14,1286016.42,349220.63,1341174.06
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Charles Schwab Corporation,,,,,,SMA CCI Large Cap Growth Equity,SMA Single Contract,Access and Select,,,Gross Flows,0,0,158392,0,0,0,0,0,109924
,,,,,,,,,,,,Redemptions,0,-584398,0,0,-565711,-30000,-350000,0,-1000
,,,,,,,,,Access and Select Total,,4,Net Cash Flows,0,-584398,158392,0,-565711,-30000,-350000,0,108924
,,,,,,,,,,,,Assets,2155031.82,1528344.73,1776633.41,1689555.7,1292493.68,1349869.95,1059762.29,1136800.44,1298625.24
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SMA CCI Mid Cap Growth,SMA Single Contract,Access and Select,,,Gross Flows,245000,277000,363500,500000,0,397000,19000,1000000,725000
,,,,,,,,,,,,Redemptions,-237576,-426804,-590228,0,-390000,-350000,-164500,-605000,-250000
,,,,,,,,,Access and Select Total,,30,Net Cash Flows,7424,-149804,-226728,500000,-390000,47000,-145500,395000,475000
,,,,,,,,,,,,Assets,14581094.23,15112941.35,15540314.47,15752527.47,16796898.68,17497512.79,18453654.03,20077474.28,20993847.3
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Single Contract,Access and Select,,,Gross Flows,1423659.6,4742230,11008148.77,11090146.56,25614991.31,13795590.1,7719849.73,6699615.26,12209615.5
,,,,,,,,,,,,Redemptions,-20000,-118042,-352338,-1544175.17,-1151436.27,-3154677.95,-3163096.38,-3420124.2,-4440366.52
,,,,,,,,,Access and Select Total,,458,Net Cash Flows,1403659.6,4624188,10655810.77,9545971.39,24463555.04,10640912.15,4556753.35,3279491.06,7769248.98
,,,,,,,,,,,,Assets,4754009.94,11133085.09,22491805.89,35108963.26,61152929.11,72252275.68,79697857.48,85724248.78,90264234.95
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSQN,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income with MLPs,SMA Single Contract,Access and Select,,,Gross Flows,1020820.05,242833.88,1805781.29,1060986.98,1220984.43,929384.56,640333.88,716712.28,272931.89
,,,,,,,,,,,,Redemptions,-2719726.22,-3529602.49,-3329486.11,-2090180.23,-1890502.47,-1322777.01,-3013911.84,-2032592.09,-1512877.04
,,,,,,,,,Access and Select Total,,160,Net Cash Flows,-1698906.17,-3286768.61,-1523704.82,-1029193.25,-669518.04,-393392.45,-2373577.96,-1315879.81,-1239945.15
,,,,,,,,,,,,Assets,39645005.08,36244878.3,36657547.94,38831990.35,38681970.94,38288166.89,37333553.67,36831302.95,34331727.02
,,,,,,,,,,,,,,,,,,,,,
,,,F00000XO0D,US SA Corporate Bond,,,SMA Investment Grade Corporate,SMA Single Contract,Access and Select,,,Gross Flows,0,0,0,1959098.79,4868583.91,18099276.34,21070339.31,16551512.71,15170314.23
,,,,,,,,,,,,Redemptions,0,0,0,-395080,0,-22523.79,-793615.45,-128342.49,-7774325.6
,,,,,,,,,Access and Select Total,,203,Net Cash Flows,0,0,0,1564018.79,4868583.91,18076752.55,20276723.86,16423170.22,7395988.63
,,,,,,,,,,,,Assets,,,,1531452.64,6372204.94,24464506.66,45604677.98,62160146.42,67781230.89
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Single Contract,Access and Select,,,Gross Flows,2255435.45,4672250,1772821.48,10683544,1122961.63,1386148,832575,4819946.02,1675170.16
