AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,AdvisoryPlatformCode,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
,Managed Account Platform,"WrapManager, Inc.",T1282,,,SMA Edge Mid-Cap Core,F00000XDN8,SMA Model-Only Contract,Model,US SA Mid-Cap Blend,MB,,10,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0.07711733,0.07656812,0,0.07656812,,0.17437285,0.09153358,0,0.09153358,,0.21772274,0.03874316,0,0.03874316,,0.546806,0.28532779,0,0.28532779,
,Managed Account Advisors (MAA),Bank of America Merrill Lynch,7691,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,4,4.42864285,0.002383,-1.57272419,-1.57034119,,1.25300166,0,-1.43476761,-1.43476761,,0.11031565,0,-1.23336342,-1.23336342,,0,0,-0.10903699,-0.10903699,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0.85163133,0.849483,-0.00000729,0.84947571,
,Merrill ONE,Bank of America Merrill Lynch,7691,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,1862,254.8087866,30.56021704,-20.68986687,9.87035017,,287.0921862,44.03868147,-26.81643745,17.22224402,,336.4262928,46.47730056,-23.81791412,22.65938644,,361.7788165,62.25526689,-39.24171196,23.01355493,,449.6796024,99.71113162,-45.92019128,53.79094034,,490.9699649,44.34343878,-25.12771762,19.21572116,,533.4591907,54.37915142,-32.40080818,21.97834324,,581.0891534,53.77134099,-32.78857477,20.98276622,,598.6999063,63.11410274,-38.42126332,24.69283942,
,Selects Portfolio Solutions,Bank of America Merrill Lynch,7691,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,283,51.31487208,6.50414523,-5.13877314,1.36537209,,66.28512327,20.56394008,-6.57290689,13.99103319,,70.94230919,1.43876672,-0.39965786,1.03910886,,75.27553991,4.4567427,-1.13820636,3.31853634,,97.10732718,19.58337562,-3.88166736,15.70170826,,109.9946034,7.28044675,-1.38289814,5.89754861,,122.7220795,7.40879144,-2.12203386,5.28675758,,137.5684211,8.75781069,-3.03246176,5.72534893,,149.0447251,13.54438333,-2.8971438,10.64723953,
,Unified Managed Account (UMA),Bank of America Merrill Lynch,7691,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,-,5.97574158,0,0,0,,2.99052772,0.05602618,-0.00898558,0.0470406,,3.09532284,0,-0.11870089,-0.11870089,,0,0.006153,-3.15173017,-3.14557717,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Access and Select,Charles Schwab Corporation,5393,,,SMA MidCap Equity,F00000MD3H,SMA Single Contract,Trad,US SA Mid-Cap Growth,MG,,136,25.15132514,2.25543545,-0.8980306,1.35740485,,28.69532925,4.67225,-1.92009596,2.75215404,,29.76941301,1.77282148,-1.92783835,-0.15501687,,40.42059375,10.683544,-0.29698835,10.38655565,,43.33365869,1.12296163,-0.71908502,0.40387661,,45.27835673,1.386148,-1.49861458,-0.11246658,,48.32663267,0.832575,-0.35096329,0.48161171,,53.95403307,4.81994602,-1.56222835,3.25771767,,53.9648775,1.67517016,-1.6539934,0.02117676,
,Discretionary SMA Platform,Chase Wealth Management,T1279,,,SMA MidCap Equity,F00000MD3H,SMA Single Contract,Trad,US SA Mid-Cap Growth,MG,,193,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1.74936179,1.739535,0,1.739535,,11.62272053,9.99486411,-0.32020169,9.67466242,,19.26604627,6.77381382,-0.14348515,6.63032867,,24.8531246,5.14086241,-0.6068017,4.53406071,,29.99942681,6.17236169,-0.92383708,5.24852461,
,Preferred Advisor and Discretionary Portfolio Solutions,Credit Suisse First Boston,T1280,,,SMA MidCap Equity,F00000MD3H,SMA Single Contract,Trad,US SA Mid-Cap Growth,MG,,-,0,0.00521148,-29.468663,-29.46345152,,0,0,-1.189043,-1.189043,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Advisor Select,Deutsche Bank,T1281,,,SMA MidCap Equity,F00000MD3H,SMA Single Contract,Trad,US SA Mid-Cap Growth,MG,,-,5.285823,0.2,-0.0364,0.1636,,5.42638073,0,-0.01752,-0.01752,,0,0,-0.617269,-0.617269,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Advisory Solutions,Edward Jones,250,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,81,5.22992246,0,0,0,,5.83524732,0,0,0,,7.08211547,0,0,0,,7.40333026,7.40333026,0,0,,7.82894064,0,0,0,,8.15209089,0,0,0,,8.71143869,0,0,0,,9.44287448,0,0,0,,10.1112606,0,0,0,
,Third Party Models Program,Envestnet Asset Management,104145,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,64,0,0,0,0,,0,0,0,0,,0,0,0,0,,0.716621,0.706493,0,0.706493,,2.842563,1.818931,0,1.818931,,4.247151,1.112617,0,1.112617,,6.313883,1.742434,0,1.742434,,7.266703,0.994953,0,0.994953,,13.064587,3.019938,0,3.019938,
,Separate Account Management,"FDX Advisors, Inc.",48015,,,SMA CCI Mid Cap Growth,PMCGROWTH,SMA Single Contract,Trad,US SA Mid-Cap Growth,MG,,3,3.66357701,0.00262623,0,0.00262623,,2.53819964,0,-1.274017,-1.274017,,1.52917824,0,-1.115097,-1.115097,,1.49987736,0,0,0,,1.63649737,0,0,0,,1.69794312,0,0,0,,1.80267573,0,0,0,,1.92257406,0,0,0,,1.96501735,0,0,0,
,Unified Overlay Management Program,"FDX Advisors, Inc.",48015,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,5,0.84,0,0,0,,1.16,0,0,0,,1.29,0,0,0,,1.06,0,0,0,,1.13,0,0,0,,1.48,0,0,0,,1.52,0,0,0,,1.63,0,0,0,,1.61,0,0,0,
,Fidelity Separate Account Network (SAN),"Fidelity Brokerage Services, LLC",7784,,,SMA MidCap Equity,F00000MD3H,SMA Dual Contract,Dual,US SA Mid-Cap Growth,MG,,6,2.58578922,0,0,0,,3.12626702,0,0,0,,3.26663355,0,0,0,,3.28784033,0,0,0,,3.52277434,0,0,0,,3.69457933,0,0,0,,3.90589027,0,0,0,,4.10164824,0,0,0,,4.08933175,0.00261629,-0.00261629,0,
,Investment Counseling Service Program,J.P. Morgan Securities LLC,79,,,SMA MidCap Equity,F00000MD3H,SMA Dual Contract,Dual,US SA Mid-Cap Growth,MG,,6,2.69266067,1.600824,0,1.600824,,4.54817897,1.750364,0,1.750364,,4.74641966,0,0,0,,4.7713753,0,0,0,,5.08627846,0,-0.0205,-0.0205,,5.31615768,0,-0.01,-0.01,,5.61190095,0,0,0,,5.88453177,0,0,0,,5.82842658,0,-0.03,-0.03,
,Unified Managed Account,J.P. Morgan Securities LLC,79,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,-,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2.440839,2.448856,0,2.448856,,2.513099,0,0,0,,2.542927,0,-0.097315,-0.097315,,2.705768,0.186861,-0.1588738,0.0279872,,2.922648,0.219944,-0.003064,0.21688,
,Stratis,J.P. Morgan Securities LLC,79,,,SMA MidCap Equity,F00000MD3H,SMA Single Contract,Trad,US SA Mid-Cap Growth,MG,,40,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,9.57045628,11.685513,-2.232717,9.452796,,9.71539791,0.104366,-0.39792,-0.293554,,11.45294165,1.459938,-0.31,1.149938,,12.23622937,0.287531,-0.045,0.242531,,13.31691434,1.76092678,-0.60716878,1.153758,
,Consulting and Evaulation Services (CES) DVP T2,Morgan Stanley,149777,,,SMA MidCap Equity,F00000MD3H,SMA DVP Contract,Trad,US SA Mid-Cap Growth,MG,,3,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,3.39649656,3.397769,-0.00210832,3.39566068,,3.79825121,0.24,0,0.24,,4.01187079,0,0,0,,12.90038054,8.71696174,-0.24141308,8.47554866,,12.87191397,0.00771629,0,0.00771629,
,Manager Services-,PNC Bank & Delaware Trust Company,129052,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,367,94.79459999,10.38415382,-0.75294109,9.63121273,,97.61411116,6.607035,-4.26416312,2.34287188,,107.2771699,8.76273,-3.4316243,5.3311057,,115.1720429,6.57558711,-1.07617266,5.49941445,,129.3857228,5.935598,-1.0185326,4.9170654,,146.6250487,13.1709908,-3.6782916,9.4926992,,175.2844346,20.94681836,-4.2424924,16.70432596,,185.0248072,8.35226904,-8.72799535,-0.37572631,,190.0761235,12.81578643,-7.42447737,5.39130906,
,Freedom UMA and Model Delivery,Raymond James and Associates,705,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,85,0,0,0,0,,0,0,0,0,,5.531121,0.650664,-0.000299,0.650365,,6.958009,1.379164,-0.026493,1.352671,,11.188672,3.822087,-0.445173,3.376914,,16.561642,4.975303,-0.171901,4.803402,,17.999704,1.871505,-1.380221,0.491284,,23.422489,4.76014,-0.209927,4.550213,,25.020799,4.939848,-3.125142,1.814706,
,Baird Private Asset Management Recommended Managers Service,Robert W. Baird & Co. Incorporated,8158,,,SMA MidCap Equity,F00000MD3H,SMA Single Contract,Trad,US SA Mid-Cap Growth,MG,,231,24.66485447,6.56234863,-0.85894253,5.7034061,,32.20613269,6.86752722,-0.16218729,6.70533993,,36.91111312,3.96000575,-0.67668518,3.28332057,,42.30129383,5.23915793,-0.0775,5.16165793,,51.92060575,7.19095862,-0.90043908,6.29051954,,61.40567807,6.9571022,-1.87808166,5.07902054,,68.92203891,5.871236,-1.85988747,4.01134853,,75.68900251,4.18763891,-0.86336967,3.32426924,,77.38079645,6.92652361,-5.14400903,1.78251458,
,Access,"UBS Financial Services, Inc.",8174,,,SMA MidCap Equity,F00000MD3H,SMA Single Contract,Trad,US SA Mid-Cap Growth,MG,,365,35.94458299,12.76812497,-0.81001997,11.958105,,41.06328229,5.90891813,-1.2762578,4.63266033,,53.58367784,11.18028068,-1.25696372,9.92331696,,71.29155886,19.393858,-2.17838125,17.21547675,,87.29208048,11.79504785,-0.67050488,11.12454297,,97.23127737,8.95601178,-3.15853155,5.79748023,,105.8215296,6.46063732,-3.30651485,3.15412247,,113.6942761,5.43927539,-3.04598139,2.393294,,117.7322964,8.07430459,-3.46237949,4.6119251,
,Diversified Managed Allocations (DMA),Wells Fargo Advisors,11025,,,SMA MidCap Equity,F00000MD3H,SMA Model-Only Contract,Model,US SA Mid-Cap Growth,MG,,1055,148.72171,14.148923,-12.675151,1.473772,,153.312085,17.387684,-20.664483,-3.276799,,166.657027,12.642747,-7.573193,5.069554,,172.758554,16.023861,-11.655759,4.368102,,191.464175,20.193643,-14.865993,5.32765,,205.592186,12.899133,-9.086851,3.812282,,220.252941,13.16702,-11.12002,2.047,,233.830236,15.814379,-13.641693,2.172686,,236.43235,21.528922,-18.033887,3.495035,
,Strategic,Wells Fargo Investments,11025,,,SMA MidCap Equity,F00000MD3H,SMA Single Contract,Trad,US SA Mid-Cap Growth,MG,,1141,459.0484356,42.27133036,-22.1250258,20.14630456,,476.6050138,27.44305401,-23.96608437,3.47696964,,519.0868242,40.71525593,-20.30912809,20.40612784,,528.1340912,24.97820198,-17.9440828,7.03411918,,574.8438612,27.36216373,-19.55438704,7.80777669,,607.8152901,28.67661186,-28.08661723,0.58999463,,648.20504,24.92984617,-19.44260398,5.48724219,,685.8568902,23.08014322,-18.07626418,5.00387904,,700.2841054,36.35123758,-19.56275567,16.78848191,
,Managed Account Services (MAS),Bank of America Merrill Lynch,7691,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Dual Contract,Dual,US SA Mid-Cap Value,MV,,4,0.29578441,0,-0.498095,-0.498095,,0.31336534,0,0,0,,0.33463358,0,0,0,,0.3687085,0,0,0,,0.67853103,0.301833,0,0.301833,,0.63156621,0,-0.05,-0.05,,1.02593658,0.500031,-0.139854,0.360177,,1.06103221,0,-0.00103633,-0.00103633,,1.49830749,0.5,-0.00104834,0.49895166,
,Capital Investment Programs,"Brinker Capital, Inc.",38123,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Model-Only Contract,Model,US SA Mid-Cap Value,MV,,83,1.949411,0,0,0,,7.77023723,0,0,0,,11.23356508,0,0,0,,15.08265341,2.07528508,-0.00806469,2.06722039,,16.70683587,3.48646603,-0.7514861,2.73497993,,20.33161667,4.17246996,-0.63882951,3.53364045,,21.79037594,2.04578802,-1.39517207,0.65061595,,22.6658322,0.68403112,-0.51739726,0.16663386,,22.92232618,2.05833044,-0.89012865,1.16820179,
,Access and Select,Charles Schwab Corporation,5393,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Single Contract,Trad,US SA Mid-Cap Value,MV,,458,4.75400994,1.4236596,-0.02,1.4036596,,11.13308509,4.74223,-0.118042,4.624188,,22.49180589,11.00814877,-0.352338,10.65581077,,35.10896326,11.09014656,-1.54417517,9.54597139,,61.15292911,25.61499131,-1.15143627,24.46355504,,72.25227568,13.7955901,-3.15467795,10.64091215,,79.69785748,7.71984973,-3.16309638,4.55675335,,85.72424878,6.69961526,-3.4201242,3.27949106,,90.26423495,12.2096155,-4.44036652,7.76924898,
,Access and Select,Charles Schwab Corporation,5393,,,SMA Edge Small MidCap Dividend Income with MLPs,F00000OSQN,SMA Single Contract,Trad,US SA Mid-Cap Value,MV,,160,39.64500508,1.02082005,-2.71972622,-1.69890617,,36.2448783,0.24283388,-3.52960249,-3.28676861,,36.65754794,1.80578129,-3.32948611,-1.52370482,,38.83199035,1.06098698,-2.09018023,-1.02919325,,38.68197094,1.22098443,-1.89050247,-0.66951804,,38.28816689,0.92938456,-1.32277701,-0.39339245,,37.33355367,0.64033388,-3.01391184,-2.37357796,,36.83130295,0.71671228,-2.03259209,-1.31587981,,34.33172702,0.27293189,-1.51287704,-1.23994515,
,Dynamic Allocation Portfolios,Citi Private Bank,7059,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Model-Only Contract,Model,US SA Mid-Cap Value,MV,,20,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0.345595,0.348496,0,0.348496,,1.28292,0.914688,0,0.914688,,1.440475,0.298984,-0.210248,0.088736,,1.96131,0.618737,-0.130909,0.487828,,2.332548,0.333987,0,0.333987,
,Manager Selection Program,Citi Private Bank,7059,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Single Contract,Trad,US SA Mid-Cap Value,MV,,36,5.43733742,0.405,0,0.405,,5.59932352,0.1,-0.250458,-0.150458,,9.78996725,3.964885,-0.153343,3.811542,,10.78091606,0.162186,-0.11892797,0.04325803,,14.52447155,3.50449271,-0.006261,3.49823171,,15.65494389,1.407721,-0.315142,1.092579,,16.89992994,0.640484,0,0.640484,,16.92402432,0,-0.475829,-0.475829,,21.66944148,5.757447,-0.355329,5.402118,
,Third Party Models Program,Envestnet Asset Management,104145,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Model-Only Contract,Model,US SA Mid-Cap Value,MV,,495,16.070535,1.632823,-0.119304,1.513519,,18.205419,1.915906,-0.238597,1.677309,,22.592624,4.067493,-0.776384,3.291109,,27.901088,4.481895,-0.355737,4.126158,,33.014739,4.158786,-0.553103,3.605683,,40.202125,8.712194,-0.809341,7.902853,,53.25883,12.986736,-0.828961,12.157775,,70.455684,16.576851,-1.624788,14.952063,,81.69925,16.694455,-1.570198,15.124257,
,Third Party Models Program,Envestnet Asset Management,104145,,,SMA Edge Small MidCap Dividend Income with MLPs,F00000OSQN,SMA Model-Only Contract,Model,US SA Mid-Cap Value,MV,,25,0.111971,0,0,0,,0.276852,0.158406,0,0.158406,,0.124689,0,-0.158406,-0.158406,,0.127887,0,0,0,,0.127246,0,0,0,,0.549991,0.364339,0,0.364339,,1.172763,0.398008,0,0.398008,,1.894996,0.780752,-0.110832,0.66992,,5.366692,3.941449,-0.0561,3.885349,
,Unified Overlay Management Program,"FDX Advisors, Inc.",48015,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Model-Only Contract,Model,US SA Mid-Cap Value,MV,,23,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1.63880394,1.47258044,0,1.47258044,,1.70653656,0,0,0,,2.01862136,0,0,0,,2.44889801,0,0,0,,2.74539503,0.57940286,0,0.57940286,
,Fidelity Separate Account Network (SAN),"Fidelity Brokerage Services, LLC",7784,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Dual Contract,Dual,US SA Mid-Cap Value,MV,,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,0.27498107,0.25,0,0.25,,0.27902122,0,0,0,,0.27789995,0,0,0,,0.28623569,0,0,0,,0.29309387,0,0,0,,0.32738154,0.05,0,0.05,
,Consulting and Evaluation Services (CES),Morgan Stanley,149777,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Dual Contract,Dual,US SA Mid-Cap Value,MV,,1,1.65483678,0,0,0,,1.75475778,0,0,0,,0,0,-1.786422,-1.786422,,0,0,0,0,,0,0,0,0,,8.09936845,8.0842,0,8.0842,,8.44309352,0.00116093,0,0.00116093,,8.75063321,0.00116093,0,0.00116093,,8.47149671,0.00110697,0,0.00110697,
,Select UMA,Morgan Stanley,149777,,,SMA Edge Small MidCap Dividend Income with MLPs,F00000OSQN,SMA Model-Only Contract,Model,US SA Mid-Cap Value,MV,,150,6.0111919,0.3649281,-0.5824197,-0.2174916,,6.94750358,0.76295218,-0.24194475,0.52100743,,11.16453628,4.5732317,-0.9722407,3.600991,,16.99978273,3.80936546,-0.9381421,2.87122336,,20.05676181,4.50818202,-2.08584522,2.4223368,,22.2699912,3.0785716,-1.03097793,2.04759367,,25.69199264,3.3985355,-0.8033127,2.5952228,,24.978526,0.6495358,-1.3441346,-0.6945988,,34.184512,12.08974705,-1.26243016,10.82731689,
,Freedom UMA and Model Delivery,Raymond James and Associates,705,,,SMA Edge Small MidCap Dividend Income,F00000OSPA,SMA Model-Only Contract,Model,US SA Mid-Cap Value,MV,,1944,174.106304,9.359078,-10.841965,-1.482887,,188.094302,12.438326,-10.622726,1.8156,,212.305488,166.573603,-161.507776,5.065827,,255.976282,37.374901,-17.261208,20.113693,,297.254769,53.271339,-23.64298,29.628359,,327.993507,40.975643,-16.083628,24.892015,,355.365319,24.970793,-12.409926,12.560867,,372.929824,18.466547,-13.027391,5.439156,,375.94491,38.402783,-21.633554,16.769229,
